id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6623,Venice Blue on Canal apartment,15016,Francesca,Isole,San Polo,45.43817,12.32739,Entire home/apt,225,7,163,2019-06-26,1.54,3,351,1,
6624,Venice garden charme and canal view!,15016,Francesca,Isole,Santa Croce,45.43977,12.32736,Entire home/apt,250,7,64,2016-07-17,0.67,3,347,0,
12074,Venice home to relax and emotions,15016,Francesca,Isole,San Polo,45.43896,12.3297,Entire home/apt,122,4,184,2018-09-17,1.53,3,362,0,
27116,Junior Suite with balcony overlooking canal,116144,Giò&Giò,Isole,San Marco,45.43277,12.33456,Private room,200,1,411,2020-01-02,3.33,2,329,1,
44527,Historical Luxury Apartment on Calm Sunny Canal,120215,Marc & Elisabeth,Isole,Cannaregio,45.44569,12.32902,Entire home/apt,280,2,78,2021-08-24,1.41,1,258,6,
44998,Furlani Loft for up to 6,198581,Laura,Isole,Castello,45.43785,12.34932,Entire home/apt,286,5,6,2013-07-12,0.27,11,359,0,
46054,Fuseri Apartment -Canal view,198581,Laura,Isole,San Marco,45.43506,12.33658,Entire home/apt,250,1,62,2019-10-09,0.70,11,342,3,
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43921,12.3331,Hotel room,90,2,282,2021-07-11,2.28,4,344,10,
47549,Ca' Barba Apartment,215652,Caterina E Alessandro,Isole,Dorsoduro,45.43593,12.32521,Entire home/apt,136,2,145,2020-01-18,1.21,2,0,0,
49656,Ca' Foscari Apartment,226598,Andrea,Isole,Dorsoduro,45.43549,12.32612,Entire home/apt,117,3,81,2021-09-02,0.96,2,356,7,
51847,Furlani Apartment,198581,Laura,Isole,Castello,45.43732,12.3483,Entire home/apt,177,1,8,2013-06-24,0.11,11,352,0,
